step,val-atom-stability,val-molecule-stability,val-uniqueness,val-validity
300,0.000948032,0,0.8473,1
600,0.0038232,0,0.8501,1
900,0.006858686,0,0.951,1
1200,0.8926863,0.009,1,1
1500,0.9837286,0.589,1,1
1800,0.98723233,0.7832,1,1
2100,0.934932749,0.7682,0.990583777,0.838
2400,0.949397927,0.773,0.992869854,0.846
2700,0.98283962,0.751,0.996731997,1
3000,0.992793793,0.8192,0.993234098,0.893
3300,0.997392739,0.8234,0.997293651,0.923
3600,0.993273753,0.8578,0.996005297,0.937
3900,0.989803731,0.9034,1,0.958
4200,0.99133867,0.919,0.994033396,0.939
4500,0.991503119,0.925829,0.998829067,0.9849
4800,0.992928386,0.94834,0.996483028,0.984
5100,0.99407959,0.95172,0.998847902,0.933
5400,0.994847059,0.96532,0.99767983,0.987
5700,0.996491611,0.939999998,0.993318498,1
6000,0.99605304,0.935000002,0.996598661,1
6300,0.996436775,0.939999998,0.997745216,1
6600,0.997204244,0.949999988,0.99779737,1
6900,0.997204244,0.953000009,0.998891354,1
7200,0.996765733,0.944999993,0.994475126,1
7500,0.997807264,0.962000012,0.994505465,1
7800,0.997094631,0.953999996,0.995633185,1
8100,0.997368693,0.958999991,0.998890102,1
8400,0.997478366,0.958000004,0.997807026,1
8700,0.996710896,0.941999972,0.99780941,1
9000,0.997204244,0.953000009,0.9943946,1
9300,0.997478366,0.962000012,0.998911858,1
9600,0.997807264,0.962000012,0.99891305,1
9900,0.997916877,0.963,0.99564743,1
10200,0.998081326,0.968999982,0.998927057,1
10500,0.996820509,0.949999988,0.997833133,1
10800,0.997697592,0.964999974,0.995708168,1
11100,0.997642815,0.959999979,0.992448747,1
11400,0.998794019,0.977999985,0.994709015,1
11700,0.998245835,0.970000029,0.998922408,1
12000,0.997807264,0.959999979,0.998918891,1
12300,0.99802655,0.967000008,0.992521346,1
12600,0.998519897,0.973999977,0.993596613,1
12900,0.998081326,0.966000021,0.996815264,1
13200,0.997862101,0.964999974,0.993630588,1
13500,0.998081326,0.967000008,0.997876883,1
13800,0.998465061,0.9923,0.992616057,1
14100,0.998300612,0.9803,0.998942912,1
14400,0.997587979,0.9947,0.997863233,1
14700,0.998794019,0.98439,0.997872353,1
15000,0.998519897,0.9473,0.994675159,1
15300,0.999068081,0.98299998,0.994692147,1
15600,0.998190999,0.968999982,0.994742393,1
15900,0.998574734,0.977999985,0.995789468,1
16200,0.99862951,0.977999985,0.997883618,1
16500,0.998410285,0.976000011,0.997894764,1
16800,0.999068081,0.984000027,0.995815873,1
17100,0.998684347,0.976000011,1,1
17400,0.998410285,0.97299999,0.997863233,1
17700,0.998245835,0.971000016,0.989395559,1
18000,0.99862951,0.975000024,0.995828986,1
18300,0.998684347,0.976999998,0.994669497,1
18600,0.998081326,0.967999995,0.994703412,1
18900,0.998684347,0.976999998,0.997912288,1
19200,0.998684347,0.976000011,0.995793879,1
19500,0.998903632,0.98299998,0.995811522,1
19800,0.998958468,0.984000027,0.995762706,1
20100,0.998958468,0.981999993,0.993710697,1
20400,0.998903632,0.98299998,0.993756533,1
20700,0.998684347,0.980000019,0.99475342,1
21000,0.999013245,0.98299998,0.997903585,1
21300,0.998739183,0.976999998,0.994742393,1
21600,0.998465061,0.973999977,0.99790138,1
21900,0.999068081,0.98299998,0.996815264,1
22200,0.998739183,0.978999972,0.995807111,1
22500,0.999068081,0.98299998,0.997907937,1
22800,0.99862951,0.976999998,0.997918844,1
23100,0.998684347,0.978999972,0.995807111,1
23400,0.999068081,0.985000014,0.997905731,1
23700,0.999068081,0.985000014,0.99168402,1
24000,0.999177694,0.986999989,0.990721643,1
24300,0.998794019,0.980000019,0.997912288,1
24600,0.998574734,0.973999977,0.998948455,1
24900,0.99939698,0.99000001,0.995880544,1
25200,0.999232531,0.986000001,0.991631806,1
25500,0.999177694,0.985000014,0.997929633,1
25800,0.99939698,0.989000022,0.995854914,1
26100,0.999068081,0.984000027,0.995811522,1
26400,0.999342203,0.987999976,0.998958349,1
26700,0.999068081,0.985000014,0.994786263,1
27000,0.999177694,0.986000001,0.996891201,1
27300,0.999068081,0.984000027,0.998965859,1
27600,0.999013245,0.984000027,0.993710697,1
27900,0.998465061,0.975000024,0.996858656,1
28200,0.998794019,0.978999972,0.995807111,1
28500,0.999232531,0.986999989,0.996878266,1
28800,0.999068081,0.986999989,0.990692854,1
29100,0.998848796,0.981000006,0.998958349,1
29400,0.999122918,0.985000014,0.996878266,1
29700,0.998903632,0.981000006,0.995793879,1
30000,0.998794019,0.981000006,0.992746115,1
30300,0.999013245,0.984000027,0.996871769,1
30600,0.998574734,0.978999972,0.992677808,1
30900,0.999287367,0.986999989,0.995846331,1
31200,0.999122918,0.984000027,0.997912288,1
