step,atom-stability,molecule-stability,validity,unique,method
10,0.980,0.942,0.911,0.914,SEMLAFLOW
20,0.985,0.955,0.932,0.919,SEMLAFLOW
30,0.991,0.973,0.932,0.927,SEMLAFLOW
40,0.993,0.974,0.935,0.927,SEMLAFLOW
50,0.995,0.982,0.939,0.936,SEMLAFLOW
60,0.996,0.985,0.939,0.939,SEMLAFLOW
70,0.997,0.996,0.939,0.947,SEMLAFLOW
80,0.998,0.996,0.939,0.950,SEMLAFLOW
90,0.999,0.997,0.939,0.953,SEMLAFLOW
100,1,0.997,0.994,0.964,SEMLAFLOW
10,0.986,0.955,0.948,0.911,SSD-Flow
20,0.991,0.965,0.953,0.923,SSD-Flow
30,0.993,0.973,0.959,0.936,SSD-Flow
40,0.996,0.980,0.965,0.957,SSD-Flow
50,0.998,0.985,0.971,0.965,SSD-Flow
60,0.999,0.990,0.984,0.973,SSD-Flow
70,0.999,0.993,0.999,1,SSD-Flow
80,1,0.996,1,1,SSD-Flow
90,1,0.998,1,1,SSD-Flow
100,1,0.999,1,1,SSD-Flow
